# Candidate,TrES-3b,,,,,
# Period,1.306186348,,,,,
# All data spans days,5936.616811,,,,,
# All data spans years,16.3,,,,,
Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
-1058,2455041.464,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1058,2455041.464,0.0011,0.0011,95.04,95.04,2011PASJ...63..301L
-1057,2455042.77,0.0009,0.0009,77.76,77.76,2011PASJ...63..301L
-1056,2455044.077,0.00076,0.00076,65.66,65.66,2011PASJ...63..301L
-1055,2455045.381,0.00045,0.00045,38.88,38.88,2013MNRAS.432..944V
-1055,2455045.382,0.00062,0.00062,53.57,53.57,2011PASJ...63..301L
-1054,2455046.689,0.001,0.001,86.4,86.4,2011PASJ...63..301L
-1054,2455046.69,0.00058,0.00058,50.11,50.11,2011PASJ...63..301L
-1052,2455049.3,0.00052,0.00052,44.93,44.93,2011PASJ...63..301L
-1048,2455054.525,0.00018,0.00018,15.55,15.55,2013AJ....145...68J; 2010MNRAS.408.1494C
-1045,2455058.444,0.00077,0.00077,66.53,66.53,2013MNRAS.432..944V
-1042,2455062.364,0.00039,0.00039,33.7,33.7,2011PASJ...63..301L
-1042,2455062.364,0.00039,0.00039,33.7,33.7,TRESCA
-1032,2455075.422,0.0006,0.0006,51.84,51.84,2011PASJ...63..301L
-1015,2455097.63,0.0011,0.0011,95.04,95.04,2011PASJ...63..301L
-990,2455130.285,0.0013,0.0013,112.32,112.32,2011PASJ...63..301L
-877,2455277.882,0.0002456,0.0002456,21.22,21.22,2013ApJ...764....8K
-865,2455293.557,0.0006,0.0006,51.84,51.84,2011PASJ...63..301L
-864,2455294.865,0.00038,0.00038,32.83,32.83,2011PASJ...63..301L
-852,2455310.538,0.00068,0.00068,58.75,58.75,2011PASJ...63..301L
-852,2455310.538,0.00067,0.00067,57.89,57.89,2011PASJ...63..301L
-849,2455314.455,0.00062,0.00062,53.57,53.57,2013MNRAS.432..944V
-848,2455315.762,0.00061,0.00061,52.7,52.7,2011PASJ...63..301L
-845,2455319.681,0.00037,0.00037,31.97,31.97,2011PASJ...63..301L
-839,2455327.517,0.00054,0.00054,46.66,46.66,2011PASJ...63..301L
-835,2455332.743,0.0001033,0.0001033,8.93,8.93,2013ApJ...764....8K
-828,2455341.884,0.0011,0.0011,95.04,95.04,2013AJ....145...68J
-822,2455349.723,0.0003216,0.0003216,27.79,27.79,2013ApJ...764....8K
-815,2455358.867,0.00027,0.00027,23.33,23.33,2011PASJ...63..301L
-812,2455362.785,0.00024,0.00024,20.74,20.74,2011PASJ...63..301L
-809,2455366.702,0.0008,0.0008,69.12,69.12,2013AJ....145...68J
-802,2455375.85,0.00071,0.00071,61.34,61.34,2011PASJ...63..301L
-800,2455378.459,0.00031,0.00031,26.78,26.78,2013MNRAS.432..944V
-797,2455382.379,0.0016,0.0016,138.24,138.24,2011PASJ...63..301L
-790,2455391.521,0.00017,0.00017,14.69,14.69,2013MNRAS.432..944V
-789,2455392.827,0.00042,0.00042,36.29,36.29,2011PASJ...63..301L
-787,2455395.44,0.00052,0.00052,44.93,44.93,2011PASJ...63..301L
-771,2455416.34,0.0011,0.0011,95.04,95.04,2013MNRAS.432..944V
-761,2455429.4,0.0004,0.0004,34.56,34.56,2013MNRAS.432..944V
-761,2455429.401,0.00033,0.00033,28.51,28.51,2013MNRAS.432..944V
-748,2455446.381,0.00017,0.00017,14.69,14.69,2013MNRAS.432..944V
-748,2455446.381,0.00037,0.00037,31.97,31.97,TRESCA
-734,2455464.668,0.00059,0.00059,50.98,50.98,2011PASJ...63..301L
-723,2455479.034,0.00094,0.00094,81.22,81.22,2018ChA&A..42..101S
-721,2455481.648,0.0001589,0.0001589,13.73,13.73,2013ApJ...764....8K
-637,2455591.367,0.0015,0.0015,129.6,129.6,2018ChA&A..42..101S
-606,2455631.858,0.00027,0.00027,23.33,23.33,TRESCA
-597,2455643.615,0.0005,0.0005,43.2,43.2,2013MNRAS.432..944V
-596,2455644.921,6.99E-05,6.99E-05,6.04,6.04,2013ApJ...764....8K
-595,2455646.228,0.0022,0.0022,190.08,190.08,2018ChA&A..42..101S
-582,2455663.205,0.0028,0.0028,241.92,241.92,2018ChA&A..42..101S
-570,2455678.883,0.0001637,0.0001637,14.14,14.14,2013ApJ...764....8K
-567,2455682.8,0.00032,0.00032,27.65,27.65,TRESCA
-558,2455694.557,0.00043,0.00043,37.15,37.15,TRESCA
-557,2455695.862,0.0003861,0.0003861,33.36,33.36,2013ApJ...764....8K
-528,2455733.741,0.0001397,0.0001397,12.07,12.07,2013ApJ...764....8K
-479,2455797.746,0.0001699,0.0001699,14.68,14.68,2013ApJ...764....8K
-464,2455817.337,0.0014,0.0014,120.96,120.96,2013MNRAS.432..944V
-438,2455851.299,0.00045,0.00045,38.88,38.88,TRESCA
-316,2456010.653,0.00034,0.00034,29.38,29.38,TRESCA
-315,2456011.959,0.00073,0.00073,63.07,63.07,2020AJ....160...47M; 2013MNRAS.428..678T
-313,2456014.572,0.0007,0.0007,60.48,60.48,2020AJ....160...47M; 2013MNRAS.428..678T
-313,2456014.572,0.00065,0.00065,56.16,56.16,2020AJ....160...47M; 2013MNRAS.428..678T
-313,2456014.573,0.00044,0.00044,38.02,38.02,TRESCA
-302,2456028.94,0.00049,0.00049,42.34,42.34,2020AJ....160...47M; 2013MNRAS.428..678T
-265,2456077.27,0.00037,0.00037,31.97,31.97,2020AJ....160...47M
-261,2456082.496,0.00056,0.00056,48.38,48.38,2017NewA...55...39P
-258,2456086.413,0.00034,0.00034,29.38,29.38,2017NewA...55...39P
-248,2456099.473,0.0016,0.0016,138.24,138.24,2020AJ....160...47M
-234,2456117.762,0.00031,0.00031,26.78,26.78,TRESCA
-225,2456129.516,0.00033,0.00033,28.51,28.51,TRESCA
-23,2456393.365,0.0005,0.0005,43.2,43.2,2020AJ....160...47M
-5,2456416.877,0.00031,0.00031,26.78,26.78,TRESCA
0,2456423.407,0.00079,0.00079,68.26,68.26,2020AJ....160...47M
6,2456431.245,0.00032,0.00032,27.65,27.65,2020AJ....160...47M
13,2456440.389,0.00028,0.00028,24.19,24.19,2017NewA...55...39P
46,2456483.493,0.00039,0.00039,33.7,33.7,TRESCA
49,2456487.41,0.00043,0.00043,37.15,37.15,2017NewA...55...39P
75,2456521.372,0.0003,0.0003,25.92,25.92,TRESCA
127,2456589.294,0.00033,0.00033,28.51,28.51,TRESCA
248,2456747.342,0.00019,0.00019,16.42,16.42,2020AJ....160...47M
307,2456824.406,0.00064,0.00064,55.3,55.3,2017NewA...55...39P
320,2456841.386,0.0003,0.0003,25.92,25.92,2017NewA...55...39P
354,2456885.797,8.00E-05,8.00E-05,6.91,6.91,2020arXiv201107169S
395,2456939.35,0.00049,0.00049,42.34,42.34,TRESCA
520,2457102.627,0.00041,0.00041,35.42,35.42,TRESCA
549,2457140.505,0.00033,0.00033,28.51,28.51,2017NewA...55...39P
559,2457153.567,0.00042,0.00042,36.29,36.29,TRESCA
588,2457191.446,0.00031,0.00031,26.78,26.78,TRESCA
588,2457191.447,0.00046,0.00046,39.74,39.74,TRESCA
598,2457204.509,0.00044,0.00044,38.02,38.02,2017NewA...55...39P
599,2457205.813,0.00023,0.00023,19.87,19.87,TRESCA
